case,face,arm_id,n_obs,event_type,observation,direction,span,evidence,source_ref
A-984e80ee,ops,glm-5.3-flash@ollama,2,recovery_in_run,✓（首跑挂、当场复测过）,recovery,same_run,matrix,amber-ollama/results/2026-W37.md [retest]
A-a317e74b,verify,glm-5.3-flash@ollama,3,severity_drift,fail ✗ 14/15 -> fail ✗ 0/15 ; second same-day 0/15 run reported in W37 prose (amber-ollama 2026-W37 case-diff notes),worsened_or_changed,cross_week,matrix,amber-ollama/results/2026-W36.md [primary]; amber-ollama/results/2026-W37.md [retest]
A-cdc3d11a,review,glm-5.3-flash@ollama,2,severity_drift,fail ✗ 0 -> fail ✗ -2,worsened_or_changed,cross_week,matrix,amber-ollama/results/2026-W36.md [primary]; amber-ollama/results/2026-W37.md [retest]
A-d9b79b46,ui-build,glm-5.3-flash@ollama,2,severity_drift,fail ✗ 11/12 -> fail ✗,worsened_or_changed,cross_week,matrix,amber-ollama/results/2026-W36.md [primary]; amber-ollama/results/2026-W37.md [retest]
A-ea80d793,vision,glm-5.3-flash@ollama,2,status_flip,pass ✓ 3.0 -> fail ✗ 2.0,regression,cross_week,matrix,amber-ollama/results/2026-W36.md [primary]; amber-ollama/results/2026-W37.md [retest]
A-ea80d793,vision,gpt-5.6-luna-900k@openai-codex:high,3,status_flip,r1/r2 fail (printed d2 -2; per-run d2 unpublished) -> r3 pass,recovery,cross_day,prose,"amber-gpt/results/2026-W37.md [addendum 2026-09-12, prose]"
A-0676097b,req-drift,gpt-5.6-luna-900k@openai-codex:high,3,status_flip,r1/r2 pass 4/4 -> r3 fail 2/4,regression,cross_day,prose,"amber-gpt/results/2026-W37.md [addendum 2026-09-12, prose]"
A-a317e74b,verify,gpt-5.6-luna-900k@openai-codex:high,3,severity_drift,W37 matrix 12/15 -> r3 14/15 (fail throughout; per-run partials unpublished),improved_still_fail,cross_day,prose,"amber-gpt/results/2026-W37.md [addendum 2026-09-12, prose]"
(unpublished),?,gpt-5.6-luna-900k@openai-codex:medium,2,evidence_gap,15/23 (W37) -> 14/23 (2026-09-12 re-sweep); flipped case not published,regression,cross_day,prose,"amber-gpt/results/2026-W37.md [addendum 2026-09-12, prose]"
A-ea80d793,vision,frontier-anchor@openai-codex:high,3,status_flip,clean-wire reruns: fail 2.0 / fail -2 / pass 3.0,mixed,cross_day,prose,amber-ollama/results/2026-W36.md [errata]; amber-crof W36 errata
A-8c909d0a,ops,swe-1-7-medium@devin,2,infra_rerun,invalid_infrastructure (38.5 s ACP drop) -> same-day makeup valid pass,recovery,same_day,prose,"amber-devin/results/2026-W37.md [harness notes, prose]"
A-8c909d0a,ops,swe-2-max@devin,2,infra_rerun,invalid_infrastructure (49 s ACP drop) -> makeup valid pass,recovery,same_day,prose,"amber-devin/results/2026-W37.md [harness notes, prose]"
A-a317e74b,verify,swe-2-low@devin,3,infra_rerun,invalid_infrastructure x2 (v0.21.2 ACP stall) -> terminal-lane makeup valid fail 7/15,recovery_of_valid_score,same_day,prose,"amber-devin/results/2026-W37.md [harness notes, prose]"
A-a317e74b,verify,swe-2-max@devin,4,infra_rerun,"1800 s cap timeout x2 + 3600 s cap makeup timeout x2 -> owed, not scored",no_recovery,same_day,prose,"amber-devin/results/2026-W37.md [harness notes, prose]"
(6 papers),delivery-contract,glm-5-2@devin,3,reproduction,"delivery failure reproduced on 2 same-day makeup replays - stable defect, not sampling luck",stable,same_day,prose,"amber-devin/results/2026-W37.md [harness notes, prose]"
A-a317e74b,verify,hy4-preview-f@workbuddy,2,infra_rerun,invalid -> retry valid fail 14/15,recovery_of_valid_score,same_day,prose,amber-workbuddy/results/2026-W37.md [prose]
A-a317e74b,verify,deepseek-v4.1-flash@opencode-go,2,infra_rerun,invalid -> retry valid fail 7/15,recovery_of_valid_score,same_day,prose,amber-opencode/results/2026-W37.md [prose]
